GNN,STR,NDC
RISPERIDONE,2 MG,64679055702
OCTREOTIDE ACETATE,20 MG,00078034161
SERTRALINE HCL,50 MG,68180035205
CARTEOLOL HCL,1 %,61314023815
FILGRASTIM,300MCG/0.5,55513092410
HEPATITIS B VIRUS VACCINE-PF,20 MCG/ML,58160082148
ONDANSETRON HCL,4 MG/5 ML,00054006447
TOPIRAMATE,50 MG,60505276106
METHOTREXATE SODIUM/PF,25 MG/ML,66758004002
METFORMIN HCL,1000 MG,23155010405
HYDROCORTISONE,100MG/60ML,00093916871
GLYBURIDE,5 MG,59762372704
TIZANIDINE HCL,4 MG,64720013815
AZTREONAM LYSINE,75 MG/ML,61958090101
BENAZEPRIL HCL,40 MG,60505026801
METOCLOPRAMIDE HCL,10 MG,51079028320
BUPROPION HBR,174MG,00024581030
FLUVOXAMINE MALEATE,50 MG,62559015901
CIMETIDINE,300 MG,60505001906
LEFLUNOMIDE,10 MG,00088216030
FLUOXETINE HCL,40 MG,65862019430
DIMETHYL SULFOXIDE,50 %,67457017750
TOLTERODINE TARTRATE,2 MG,00009519004
HYDROCORTISONE AC/LIDOCAINE,0.5 %-3 %,68032010601
NORETHINDRONE-ETHINYL ESTRAD,0.4-0.035,52544021028
AMOXICILLIN/POTASSIUM CLAV,600-42.9/5,00781613948
CEFTRIAXONE SODIUM,1 G,63323034610
ISOTRETINOIN,30 MG,00555105686
MYCOPHENOLATE MOFETIL,500 MG,00378447205
SERTRALINE HCL,50 MG,16252053430
POVIDONE-IODINE,10 %,00603155058
CALCIUM CARBONATE,200(500)MG,41163047847
ASPIRIN,81 MG,37205070868
GUAIFENESIN,100 MG/5ML,61787006304
IBUPROFEN,600 MG,63739044301
TRIHEXYPHENIDYL HCL,2 MG/5 ML,00121065816
NAPROXEN,250 MG,00143134605
"MULTIVITAMIN W/IRON, MINERALS",,54838001070
RISPERIDONE MICROSPHERES,37.5MG/2ML,50458030711
ACETAMINOPHEN,500 MG,00904198340
OLMESARTAN/HYDROCHLOROTHIAZIDE,20-12.5 MG,65597010590
TRIHEXYPHENIDYL HCL,5 MG,00603624121
CARBIDOPA/LEVODOPA,25MG-100MG,00091334201
DILTIAZEM HCL,120 MG,00228258850
BISOPROLOL FUMARATE/HCTZ,2.5-6.25MG,00185070101
PAROXETINE HCL,20 MG,60505008301
ISOSORBIDE DINITRATE,40 MG,57664060088
CLONIDINE HCL,0.3 MG,00603295928
ACYCLOVIR,800 MG,63304050501
,,00006496301
"SYRING W-NDL,DISP,INSUL,0.5ML","29GX1/2""",08290593201
CICLOPIROX,1 %,00574205912
LEVOTHYROXINE SODIUM,150 MCG,00527137701
NICOTINE,10 MG,00009540001
PRAMIPEXOLE DI-HCL,0.5 MG,13668009390
PRAZOSIN HCL,5 MG,00093406901
AZITHROMYCIN,250 MG,50111078766
SIMVASTATIN,5 MG,00093715298
PRENATAL VIT27&CALCIUM/IRON/FA,60 MG-1 MG,13811000710
"THYROID,PORK",60 MG,42192033001
FLECAINIDE ACETATE,50 MG,00555085902
CARVEDILOL,3.125 MG,60505260601
PROCHLORPERAZINE MALEATE,10 MG,51079054220
"GLYBURIDE,MICRONIZED",1.5 MG,67253046010
ASENAPINE MALEATE,5 MG,00052011890
CALCIUM CARBONATE/VITAMIN D3,500 MG-200,00182443926
ISOSORBIDE DINITRATE,5 MG,00904215061
TRANDOLAPRIL,1 MG,00378324101
OMEPRAZOLE,40 MG,60505014602
BLOOD-GLUCOSE CALIB. CONTROL,,50924030202
DASATINIB,70 MG,00003052411
WARFARIN SODIUM,1 MG,00832121110
BUTORPHANOL TARTRATE,10 MG/ML,00378963943
METHYLPHENIDATE HCL,18 MG,50458058501
CARBIDOPA/LEVODOPA,25MG-250MG,18860034301
CEFEPIME HCL,1 G,60505083404
VALACYCLOVIR HCL,1000 MG,00378427605
TRANDOLAPRIL/VERAPAMIL HCL,1-240MG,68462029401
HYDROCODONE BIT/ACETAMINOPHEN,5 MG-500MG,00603388120
PROMETHAZINE HCL,25 MG,00603543830
GLYBURIDE,2.5 MG,00039005110
PROPYLENE GLYCOL,0.6 %,00065143302
HYDROXYZINE PAMOATE,25 MG,00069541066
FAMOTIDINE,40 MG,49884060901
VERAPAMIL HCL,240 MG,00025202131
HYDROCORTISONE BUTYRATE,0.1 %,14290031463
ERYTHROMYCIN BASE,5MG/G,00168007039
"SYRING W-NDL,DISP,INSUL,0.5ML","28GX1/2""",08970100869
SIMVASTATIN,5 MG,63739043510
RAMIPRIL,2.5 MG,61570011101
ITRACONAZOLE,100 MG,10147170007
LEVONORGESTREL-ETH ESTRADIOL,0.1-0.02,52544096728
LISINOPRIL/HYDROCHLOROTHIAZIDE,20-12.5 MG,54868463701
HYOSCYAMINE SULFATE,0.125 MG,64543011401
OXYCODONE HCL/ACETAMINOPHEN,5 MG-500MG,00591073705
SALSALATE,500 MG,57664010308
GUAIFENESIN,100 MG/5ML,24385031034
METFORMIN HCL,1000 MG,57664047413
PARICALCITOL,4MCG,00074431530
BETAMET DIPROP/PROP GLY,0.05 %,00168026850
AMITRIPTYLINE HCL,10 MG,53489010401
LEVOFLOXACIN,250MG/10ML,50383028608
METFORMIN HCL,500 MG,59762432000
MEPERIDINE HCL,100 MG,00024033704
CIPROFLOXACIN HCL,500 MG,67767013801
LEVETIRACETAM,250 MG,00054015027
ISOSORBIDE DINITRATE,5 MG,00603412321
ZOLPIDEM TARTRATE,10 MG,00024542150
TRAZODONE HCL,100 MG,00555049004
TESTOSTERONE ENANTHATE,200 MG/ML,67979050140
WARFARIN SODIUM,6 MG,00056018990
"FLUCONAZOLE IN NACL,ISO-OSM",200MG/0.1L,00409468823
FLUTICASONE/SALMETEROL,230-21MCG,00173071722
YELLOW FEVER VACCINE/PF,10E4.74,49281091505
AMOXICILLIN/POTASSIUM CLAV,1000-62.5,43598022028
BUPROPION HCL,150 MG,68084025101
LISINOPRIL,5 MG,59762227103
GLUCOSAMINE SULFATE,500 MG,43292055857
VENLAFAXINE HCL,150 MG,55111045530
ELTROMBOPAG OLAMINE,50 MG,00007464113
SERTRALINE HCL,25 MG,13668000490
WARFARIN SODIUM,2.5 MG,00781036407
SULFACETAMIDE SODIUM,10 %,45802093902
LOSARTAN POTASSIUM,50 MG,00245019490
LORAZEPAM,2 MG,00904600960
TERBINAFINE HCL,250 MG,00781541731
TRIAMTERENE/HYDROCHLOROTHIAZID,37.5-25 MG,00555064304
HYDROCHLOROTHIAZIDE,12.5 MG,51079077601
CARVEDILOL,12.5 MG,00904587261
MORPHINE SULFATE/PF,0.5 MG/ML,63323029180
ISOSORBIDE MONONITRATE,30 MG,00143223009
FLUOXETINE HCL,10 MG,00093104219
IPRATROPIUM BROMIDE,0.2 MG/ML,00781715786
LEVOTHYROXINE SODIUM,88 MCG,00378180705
GLIPIZIDE/METFORMIN HCL,5 MG-500MG,00781530601
CYANOCOBALAMIN (VITAMIN B-12),1000 MCG,79854020062
"OXACILLIN SODIUM/DEXTROSE,ISO",2 G,00338101541
RIBAVIRIN,200 MG,68382026007
LAMOTRIGINE,25(84)-100,00173081728
PROMETHAZINE HCL,25 MG/ML,00409231231
SITAGLIPTIN/SIMVASTATIN,100MG-20MG,00006075731
RIBAVIRIN,200 MG,00781204342
PHENOBARBITAL,100 MG,64125090310
RISPERIDONE,0.25 MG,16252055860
PNV NO.42/IRON/FA/LMFOLATE/DHA,27-400-1,13811057230
CALCIUM CARBONATE/MAG CARB/FA,200-400-1,59528041605
TIMOLOL MALEATE,0.25 %,60505059703
HYOSCYAMINE SULFATE,0.125 MG,24486060510
MAGNESIUM GLUCONATE,27 MG(500),35046000322
TAMOXIFEN CITRATE,10 MG,00378014405
LEVETIRACETAM,500 MG,00904605261
PROPAFENONE HCL,225 MG,65726026115
DOBUTAMINE HCL/D5W,500MG/250,00338107502
"SYRING W-NDL,DISP,INSUL,0.5ML","30GX1/2""",57515007355
CLOCORTOLONE PIVALATE,0.1 %,13548003175
LEVETIRACETAM,500 MG/5ML,50474000263
NYSTATIN/TRIAMCIN,100000-0.1,00472015015
ALENDRONATE SODIUM,10 MG,51079094105
CALCIUM CARBONATE/VITAMIN D3,600 MG-400,79854001681
LISINOPRIL,40 MG,60760027030
LANCETS,,15482088012
LORAZEPAM,0.5 MG,00378232101
LOXAPINE SUCCINATE,10 MG,52544049501
GRANISETRON HCL,1 MG,51079047205
MECLIZINE HCL,25 MG,65162044250
ACETAMINOPHEN,500 MG,49348089210
MAGNESIUM HYDROXIDE,400 MG/5ML,87701060152
LORATADINE,10 MG,49614017072
METFORMIN HCL,850 MG,59762432100
MORPHINE SULFATE,10 MG/5 ML,00054378549
VITAMIN B COMPLEX,,10939027333
CEFOTAXIME SODIUM,1 G,00143993122
SALICYLIC ACID,6 %,11086003040
SODIUM FLUORIDE/POT NITRATE,1.1%-5%,64854003101
PSYLLIUM SEED (WITH DEXTROSE),,00182151376
OMEGA-3 FATTY ACIDS/FISH OIL,300-1000MG,40985021495
BUMETANIDE,2 MG,00172423460
FAMOTIDINE,20 MG,00172572893
SIMVASTATIN,20 MG,00406206703
"GENTAMICIN IN NACL, ISO-OSM",100MG/0.1L,00338050548
BUMETANIDE,0.25 MG/ML,10019050645
SERTRALINE HCL,100 MG,60505018208
GLYCERIN/WITCH HAZEL LEAF,,00904505960
"TINZAPARIN SODIUM,PORCINE",20000/ML,50222034253
PHENYTOIN SODIUM EXTENDED,300 MG,62794075093
PRAMIPEXOLE DI-HCL,0.75 MG,13668018405
,,00078035961
GUAIFENESIN,400 MG,00904575840
IBUPROFEN,200 MG,00113060478
RAMIPRIL,2.5 MG,00781212705
BENZOYL PEROXIDE,5 %,45802099596
QUINIDINE SULFATE,300 MG,00093917552
SULFACETAMIDE SOD/SULFUR/UREA,10%-5%-10%,00168066145
IBUPROFEN,200 MG,24385064771
DIPHENOXYLATE HCL/ATROPINE,2.5-.025MG,51079006701
LEVOTHYROXINE SODIUM,500 MCG,63323024810
MISCELLANEOUS MEDICAL SUPPLY,,08884737600
PEN G BENZ/PEN G PROCAINE,1.2MM/2 ML,60793060110
DIPHENHYDRAMINE HCL,50 MG,00904530780
ACETAMINOPHEN,650 MG,37205003471
DEXTROSE 50%-WATER,50 %,00409664802
"PE/SHARK LIVER/GLY/PET,WH",0.25-3-12%,00904512437
MILRINONE LACTATE,1 MG/ML,00143970910
"NEEDLES, INSULIN DISPOSABLE","29GX1/2""",08214029739
CARBAMIDE PEROXIDE,6.5 %,49348039529
LANCETS,,53885014301
ENALAPRIL MALEATE,10 MG,68084039101
"NEEDLES, INSULIN DISPOSABLE","31GX1/4""",38396070637
,,66336079130
EVEROLIMUS,0.75 MG,00078041520
DEXTROSE,4 G,38396054132
MELOXICAM,15 MG,51079045901
TACROLIMUS,0.5 MG,51079081720
ALPRAZOLAM,0.25 MG,00228401911
OXYCODONE HCL,40 MG,58177068104
0.9 % SODIUM CHLORIDE,0.9 %,54868071006
ASCORBIC ACID,500 MG,24385031178
CISPLATIN,1 MG/ML,00703574711
MITOMYCIN,40 MG,55390025301
OMEPRAZOLE,20 MG,36800091574
ROCURONIUM BROMIDE,10 MG/ML,00409955849
FLUCONAZOLE,150 MG,51672406607
CETUXIMAB,100MG/50ML,66733094823
MYCOPHENOLATE MOFETIL,500 MG,59762070201
METFORMIN HCL,500 MG,60429072590
BLOOD SUGAR DIAGNOSTIC,,08522000023
LISINOPRIL,40 MG,00781166801
PNV NO.22/IRON CBN&GLUC/FA/DSS,27-1-50MG,00178085990
CALCIUM CARBONATE/VITAMIN D3,600 MG-400,41163026673
OMEPRAZOLE,20 MG,68115040630
PENICILLIN V POTASSIUM,250 MG,60429014740
FERROUS SULFATE,15 MG/ML,00603076247
NEOMY SULF/BACITRA/POLYMYXIN B,,45802006170
PHENYLEPHRINE/BROMPHENIRAMIN,10MG-6MG/5,66992023004
LIDOCAINE HCL,3 %,60258003906
BETAMETHASONE DIPROPIONATE,0.05 %,00168026615
MAGNESIUM HYDROXIDE,800MG/5ML,12843034710
FONDAPARINUX SODIUM,7.5MG/0.6,60505608000
CALCIUM POLYCARBOPHIL,625 MG,00005250002
ONDANSETRON HCL/PF,4 MG/2 ML,00703722101
ALPROSTADIL,125 MCG,62541011006
CALCIUM CARBONATE,600 MG,57896074606
MAG HYDROX/AL HYDROX/SIMETH,200-200-20,62559112102
LIDOCAINE HCL,20 MG/ML,00517062625
GLIPIZIDE,5 MG,66336073060
LIDOCAINE HCL/PF,5 MG/ML,63323049150
OXYCODONE HCL,5 MG/5 ML,66689002450
OMEPRAZOLE,20 MG,60505006500
DILTIAZEM HCL,420MG,52544069530
HYDRALAZINE HCL,50 MG,50111032803
HYOSCYAMINE SULFATE,0.125 MG,00574024601
LOSARTAN/HYDROCHLOROTHIAZIDE,50-12.5 MG,00093736710
GLIPIZIDE,10 MG,59762503301
BACLOFEN,10 MG,00904336561
QUETIAPINE FUMARATE,200 MG,00310027239
PROPRANOLOL HCL,10 MG,00378018201
FLUVOXAMINE MALEATE,100 MG,00093005701
LISINOPRIL,20 MG,66685070401
ROPINIROLE HCL,1 MG,00093528401
AMLODIPINE BESYLATE,5 MG,00904599261
ZOLPIDEM TARTRATE,10 MG,57664051613
DISOPYRAMIDE PHOSPHATE,100 MG,00025273231
AMLODIPINE BES/OLMESARTAN MED,5MG-40MG,65597011290
SULFACETAMIDE SODIUM,10 %,11980001105
CODEINE/BUTALBITAL/ASA/CAFFEIN,30-50-325,00591354605
"IMMUNE GLOB,GAM CAPRYLATE(IGG)",10G/100ML,13533080071
FOSINOPRIL/HYDROCHLOROTHIAZIDE,20-12.5 MG,63304040401
BUPROPION HCL,300 MG,00173073101
"NEEDLES, INSULIN DISPOSABLE","32GX 5/32""",08290320883
BUTALBITAL/ASPIRIN/CAFFEINE,50-325-40,00603254821
PREDNISONE,5 MG,00603533731
FENTANYL CITRATE,600 MCG,55253007230
LOSARTAN/HYDROCHLOROTHIAZIDE,100MG-25MG,00378142093
MOMETASONE FUROATE,0.1 %,68462019217
NORETHINDRONE-ETHINYL ESTRAD,1 MG-35MCG,00555901058
OXYBUTYNIN CHLORIDE,15 MG,50458081501
BUSPIRONE HCL,10 MG,00378115005
PIMOZIDE,1 MG,57844015101
PREDNISONE,10 MG,45802030321
FLUOXETINE HCL,10 MG,49884073410
LISINOPRIL,20 MG,00310013211
ONDANSETRON HCL,8 MG,63304045930
ATENOLOL/CHLORTHALIDONE,100MG-25MG,53489053201
DEXTROAMPHETAMINE SULFATE,10 MG,52054051309
CIPROFLOXACIN HCL,250 MG,60505130801
GUAIFENESIN,100 MG/5ML,00603085781
LACTULOSE,20 G/30 ML,00472500160
DICYCLOMINE HCL,10 MG,51079011820
TIZANIDINE HCL,4 MG,64720013850
SERTRALINE HCL,50 MG,51079076320
DOXYCYCLINE MONOHYDRATE,75 MG,63304061501
FENTANYL,25MCG/HR,60505700100
LORAZEPAM,2 MG,63304077405
FERROUS SULFATE,325(65) MG,57896070301
METFORMIN HCL,500 MG,00904584953
SIMVASTATIN,40 MG,63739043810
HYDROCHLOROTHIAZIDE,12.5 MG,65862011301
ASPIRIN/ACETAMINOPHEN/CAFFEINE,250-250-65,37205028062
CETIRIZINE HCL,1 MG/ML,00093630016
NORGESTREL-ETHINYL ESTRADIOL,0.3-0.03MG,24090096184
LOSARTAN/HYDROCHLOROTHIAZIDE,50-12.5 MG,00006071728
SIMVASTATIN,10 MG,00406206690
WARFARIN SODIUM,10 MG,51672403503
LEVETIRACETAM,750 MG,16252057901
CLONIDINE HCL/CHLORTHALIDONE,0.1-15MG,00378000101
"DIAPER,BRIEF,ADULT,DISPOSABLE",,86679028148
HYDROCODONE BIT/ACETAMINOPHEN,7.5-300MG,64376064901
ONDANSETRON HCL,8 MG,00173044700
LIDOCAINE/PRILOCAINE,2.5%-2.5%,00168035756
"HUMAN PAPILOMVIRUS VAC,QVAL/PF",20-40/0.5,00006404541
ATENOLOL,100 MG,67253042210
AZITHROMYCIN,500 MG,00378153453
CLARITHROMYCIN,250 MG,63304072560
MIRTAZAPINE,30 MG,59762141207
GRANISETRON HCL,1 MG,00054014308
HALOPERIDOL,10 MG,51079043120
RIVASTIGMINE TARTRATE,4.5 MG,00781261613
FLUPHENAZINE HCL,2.5 MG,00527178901
SODIUM BICARBONATE,650 MG,00677013110
THEOPHYLLINE ANHYDROUS,300 MG,00603594632
TOPIRAMATE,15 MG,50458064765
NIACIN,50 MG,00904227060
CLONIDINE HCL,0.1 MG,51079029919
ASPIRIN,81 MG,49348075653
GUAIFENESIN/DEXTROMETHORPHAN,100-10MG/5,00603085556
METOCLOPRAMIDE HCL,10 MG,00904107060
RIVASTIGMINE,9.5MG/24HR,00078050261
ASPIRIN,325 MG,37205042990
OMEPRAZOLE,10 MG,60505014500
DARBEPOETIN ALFA IN POLYSORBAT,40 MCG/0.4,55513002101
BENAZEPRIL HCL,10 MG,54569566802
CLOCORTOLONE PIVALATE,0.1 %,13548003130
GLIPIZIDE,5 MG,68084011101
BENAZEPRIL/HYDROCHLOROTHIAZIDE,10-12.5MG,00078045205
FONDAPARINUX SODIUM,7.5MG/0.6,55111068002
AMLODIPINE BESYLATE/BENAZEPRIL,5 MG-10 MG,68180075602
"SYRINGE & NEEDLE,INSULIN,1 ML","31GX5/16""",57515007419
METRONIDAZOLE,0.75 %,49908010060
PRENATAL VIT/FE FUMARATE/FA,65 MG-1 MG,00277017901
LORAZEPAM,100 %,51927100500
DEFEROXAMINE MESYLATE,500 MG,00555113212
HYDROCORTISONE,1 %,51672300402
NORETH-ETHINYL ESTRADIOL/IRON,0.4-35(21),00430048214
AMOXICILLIN/POTASSIUM CLAV,200-28.5MG,00781161966
TERAZOSIN HCL,10 MG,00904612561
LEVOTHYROXINE SODIUM,50 MCG,49999079230
RISPERIDONE,0.25 MG,55111020105
FENOFIBRATE,40 MG,59630049090
AMPHET ASP/AMPHET/D-AMPHET,5 MG,63304090801
OXYCODONE HCL,20 MG,58177046204
PREDNISONE,20 MG,53489014010
HALOPERIDOL LACTATE,2 MG/ML,00121058105
AMIODARONE HCL,200 MG,00008418804
RAMIPRIL,5 MG,68180059009
SUMATRIPTAN SUCCINATE,25 MG,00173073500
MAGNESIUM HYDROXIDE,400 MG/5ML,00182083339
"DIPH,PERTUSS(ACELL),TET PED/PF",25-58-10,58160081051
"SYRINGE & NEEDLE,INSULIN,1 ML","29GX1/2""",08970201031
CEFPROZIL,500 MG,65862006950
"SYRINGE & NEEDLE,INSULIN,1 ML","29GX1/2""",08970100873
SULFAMETHOXAZOLE/TRIMETHOPRIM,800-160 MG,65862042001
CHOLECALCIFEROL (VITAMIN D3),400 UNIT,37205031178
DIAZEPAM,10 MG,00555016405
GLUCOSAMINE HCL/CHONDRO SU A,500-400 MG,54458010022
DIPHENHYDRAMINE HCL,50 MG,00904530760
FENTANYL,100 MCG/HR,00378912416
GAUZE BANDAGE,"4""X75""",08137005522
LAMOTRIGINE,150 MG,68084032021
DILTIAZEM HCL,180 MG,51079094808
PARICALCITOL,2 MCG/ML,00074463701
PSEUDOEPHEDRINE HCL,120 MG,49348036101
DILTIAZEM HCL,360 MG,58177006519
FENOFIBRATE,160 MG,68084032811
OMEPRAZOLE/SODIUM BICARBONATE,20MG-1.1G,11523726503
METHENAM/ME BLUE/BA/SALICY/HYO,81.6-0.12,00076090101
MULTIVITAMIN,,50428252387
TRIAZOLAM,0.25 MG,00054885925
LOVASTATIN,20 MG,45963063404
POVIDONE-IODINE,10 %,00603155056
"HEPARIN SODIUM,PORCINE",1000/ML,63323054001
OLANZAPINE/FLUOXETINE HCL,12MG-50MG,00002323433
TRAZODONE HCL,100 MG,00591559910
LISINOPRIL,10 MG,60505268508
LISINOPRIL,20 MG,00310013210
TRANDOLAPRIL,2 MG,00074227911
TOBRAMYCIN SULFATE,10 MG/ML,63323030502
B COMPLEX WITH VITAMIN C,,37205048978
ALOE VERA/COLLAGEN,,68455010841
PROPANTHELINE BROMIDE,15 MG,58016001900
SALICYLIC ACID,26 %,49908013710
DEXMETHYLPHENIDATE HCL,2.5 MG,00078038005
CETIRIZINE HCL,10 MG,24385017565
SOTALOL HCL,120 MG,49884058301
"SYRINGE & NEEDLE,INSULIN,1 ML","28GX1/2""",08881501210
DOCETAXEL,20 MG/2 ML,00409020102
CIPROFLOXACIN HCL,500 MG,50419075401
LORATADINE,10 MG,10939014144
FAMCICLOVIR,125 MG,00781562031
VANDETANIB,300 MG,00310784030
LEVETIRACETAM,250 MG,42043019004
"IMMUNE GLOBULIN,GAMMA (IGG)",10 G,00944262004
TRIAMTERENE/HYDROCHLOROTHIAZID,75 MG-50MG,51079043301
ACETAMINOPHEN,325 MG,65162035010
GALANTAMINE HBR,8 MG,55111040860
HYDROCODONE BIT/ACETAMINOPHEN,10MG-325MG,53746011010
HALOBETASOL PROP/AMMONIUM LAC,0.05%-12%,42192012202
LEVETIRACETAM,1000 MG,65862031560
METHOTREXATE SODIUM/PF,25 MG/ML,66758004101
ACETIC ACID/OXYQUINOLINE,0.9-0.025%,51674013005
"SYRING W-NDL,DISP,INSUL,0.5ML","31GX5/16""",38396000606
LISINOPRIL,5 MG,00093111201
CHLORTHALIDONE,25 MG,51079005801
CLOTRIMAZOLE,1 %,00182509534
OXYCODONE HCL,30 MG,52152021511
D-METHORPHAN HB/P-EPD HCL/BPM,30-50-3MG,16477056201
ERYTHROMYCIN BASE,500 MG,66267009120
CALCIUM CARBONATE,300MG(750),00766739196
ACETAMINOPHEN,500 MG,11917008513
METHEN/SOD PHOS/METH BLUE/HYOS,81.6-.12MG,00485005101
METHEN MAND/NAPHOS M-B M-H,500-500MG,51991019901
PV W-O CAL/FE BISGLY/FA,29 MG-1 MG,51991051490
BUPROPION HCL,150 MG,00173055602
CHLORHEXIDINE GLUCONATE,0.12 %,50383072017
AMIODARONE HCL,100 MG,00245014489
GLYBURIDE/METFORMIN HCL,5 MG-500MG,68084013801
"FLUCONAZOLE IN NACL,ISO-OSM",200MG/0.1L,00049337126
IBUPROFEN,200 MG,63868034110
SIMVASTATIN,20 MG,63629339301
HYDROCODONE BIT/ACETAMINOPHEN,10MG-500MG,51079025401
SULFAMETHOXAZOLE/TRIMETHOPRIM,800-160 MG,00093008901
BUPROPION HCL,150 MG,00093535005
RISPERIDONE,2 MG,00603568620
TEMAZEPAM,30 MG,00781220205
PROPRANOLOL HCL,160 MG,00228278150
TOBRAMYCIN SULFATE,40 MG/ML,63323030630
METHOTREXATE SODIUM,25 MG/ML,63323012310
ACETYLCYSTEINE,100 MG/ML,00517750425
LACTULOSE,10 G/15 ML,00182607240
MICONAZOLE NITRATE,2 %,11701003816
LIDOCAINE HCL/PF,10 MG/ML,63323049205
CODEINE SULF,30 MG,00054024424
CEFDITOREN PIVOXIL,200 MG,24486080120
WARFARIN SODIUM,3 MG,60429078701
CYANOCOBALAMIN (VITAMIN B-12),100 MCG,00904113213
TRAZODONE HCL,150 MG,00555073204
GLUCOSAMINE HCL/CHONDRO SU A,500-400 MG,00677165206
HYDROCODONE BIT/ACETAMINOPHEN,7.5-500/15,58177090907
IRON FUM & P/FA/VIT B & C NO.9,125MG-1MG,52747071260
CEFDITOREN PIVOXIL,400 MG,24486080220
SODIUM POLYSTYRENE SULFONATE,15G/60ML,00574200302
LEVOCARNITINE,200 MG/ML,00517104525
FAMOTIDINE,20 MG,49884060811
DEXTROSE 5%-WATER,,00338055111
"NEEDLES, DISPOSABLE","30GX1/2""",08290305106
MAGNESIUM HYDROXIDE,400 MG/5ML,15127083573
OXYBUTYNIN CHLORIDE,5 MG/5 ML,00121067105
BENZOYL PEROXIDE,6 %,99207011609
FOSINOPRIL SODIUM,20 MG,60505251104
OLSALAZINE SODIUM,250 MG,50474060001
RUFINAMIDE,200 MG,62856058252
DOXYCYCLINE MONOHYDRATE,100 MG,00527133825
NICOTINE,14MG/24HR,00363019502
AMPICILLIN SODIUM,2 G,25021013720
CALCITRIOL,0.5 MCG,30698014401
OCTREOTIDE ACETATE,500 MCG/ML,63323037701
CODEINE SULF,15 MG,00054815524
AMLODIPINE BESYLATE,5 MG,51079045119
PROPOXYPHENE/ACETAMINOPHEN,100-650 MG,00603546721
METHSCOPOLAMINE BROMIDE,5 MG,64376060406
HYDROCORTISONE BUTYRATE,0.1 %,14290031045
PILOCARPINE HCL,4 %,00998020615
OLANZAPINE/FLUOXETINE HCL,12MG-25MG,00002323233
"PHENYLEPHRINE/SHK LV/MO/PET,WH",,00713029831
CIMETIDINE HCL,300 MG/5ML,00093050687
MESALAMINE,4G/60ML,68220002228
CALCIUM CARBONATE,400(1000),49348019516
SODIUM CHLORIDE 0.45 %,0.45 %,00409773037
GABAPENTIN,100 MG,67877022210
ASPIRIN,81 MG,24385054187
VITAMIN E,600 UNIT,00904419360
BLOOD SUGAR DIAGNOSTIC,,56151103001
LEVETIRACETAM,500 MG,10370019506
OXYCODONE HCL,20 MG/ML,00406866830
PIPERACILLIN SODIUM/TAZOBACTAM,4.5G,00206885508
SIMVASTATIN,5 MG,55111072690
URSODIOL,300 MG,51079038320
STAVUDINE,30 MG,59762119201
CITALOPRAM HYDROBROMIDE,40 MG,00456404063
ACETAMINOPHEN,650 MG,63868008950
ENOXAPARIN SODIUM,120MG/.8ML,00548560600
NAPROXEN SODIUM,220 MG,49348081910
ASPIRIN,81 MG,50428126148
MIRTAZAPINE,30 MG,62037075410
LANOLIN ALCOHOL/MO/W.PET/CERES,,72140000021
LORATADINE,10 MG,00904607489
CROMOLYN SODIUM,5.2 MG,37205022361
CLADRIBINE,10 MG/10ML,55390012401
HYDROCODONE BIT/ACETAMINOPHEN,5 MG-500MG,00682080801
GLYBURIDE,2.5 MG,00182264689
GUAIFENESIN,400 MG,40986001965
CEFOTAXIME SODIUM,500 MG,00143993003
LEVETIRACETAM,250 MG,42043019005
ERYTHROMYCIN BASE,5MG/G,54799054035
METFORMIN HCL,1000 MG,00591245501
PSEUDOEPHEDRINE HCL,120 MG,49614043362
CYCLOSERINE,250 MG,13845120003
"SYRINGE & NEEDLE,INSULIN,1 ML","29GX1/2""",11822321580
"DIAPER,BRIEF,ADULT,DISPOSABLE",,90891050116
"DIAPER,BRIEF,ADULT,DISPOSABLE",,50428641431
ACETAMINOPHEN,650 MG,00363033301
OXYCODONE HCL,10 MG,58177046104
CAPSAICIN,0.1 %,11917006938
PSYLLIUM SEED,,00536188116
PROMETHAZINE HCL,25 MG,54868132306
OXYCODONE HCL,10 MG,58177067704
IBUPROFEN,200 MG,49348070614
NICARDIPINE HCL,30 MG,42806050201
AMOXICILLIN,200 MG/5ML,00093416076
FA/NIACINAMIDE/CUPRIC OX/ZN OX,0.5-750 MG,42546091760
HYDROCHLOROTHIAZIDE,50 MG,65862013401
IBUPROFEN,200 MG,24385005978
HYDROCODONE BIT/ACETAMINOPHEN,10MG-650MG,00785635050
SODIUM CHLORIDE IRRIG SOLUTION,0.9 %,00074797207
ASPIRIN,81 MG,49035041412
SIMVASTATIN,10 MG,68084016211
ASPIRIN,81 MG,49614046868
PYRIDOXINE HCL,50 MG,54629006301
BRIMONIDINE TARTRATE,0.2 %,60758086615
KETOCONAZOLE,2 %,50580038008
GABAPENTIN,300 MG,60505011300
MENTHOL,7 MG,12546062749
VITAMINS A AND D,,35515095442
HYDROCODONE BIT/ACETAMINOPHEN,10-750MG,52544063401
DEXTROMETHORPHAN POLISTIREX,30 MG/5 ML,63824017165
AA 3%/ELECTROLYTE-TPN SOLN/GLY,3 %,00264191500
LISINOPRIL,20 MG,00904564089
PYRITHIONE ZINC,2 %,00096072908
ACETAMINOPHEN,500 MG,37864000111
ETANERCEPT,25 MG,58406042541
LIDOCAINE HCL/PF,10 MG/ML,00409427001
AMLODIPINE BESYLATE,2.5 MG,68382012101
