Comp_OID,Symbolic_name,CodingSystemName,SubmitterFirst,SubmitterLast,Submitter_Email,Submitter2,Contact_person_desc,Contact_person_address,Contact_person_phone,Contact_person_email,Contact_person_info,Resp_body_name,Resp_body_address,Resp_body_phone,Resp_body_email,Resp_body_URL,Resp_body_Type,Resp_body_oid,External_OID_flag,externalOIDsubType,replacedBy,Oid_Type,assignment_status,AA_OID,AA_description,Object_description,Date_begun,Date_finalized,Entry_Timestamp,T396mnemonic,Preferred_Realm
2.16.840.1.113883.18.158,levelOfCare,Level of Care,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,Code system of concepts used to identify the level of care a patient may be afforded when assigned to this location definition.  Used in HL7 Version 2.x messaging in the LCH segment.,2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.159,specialtyType,Specialty Type,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,Code system of concepts used to identify the specialty of the care professional who is supported when using this location definition.  Used in HL7 Version 2.x messaging in the LDP segment.,2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.16,route,ROUTE,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,"HL7-defined code system of concepts that indicate a means of administrating a medication dose.  Used in HL7 Version 2 messaging in the RX1 segment (which was withdrawn after version 2.2). As of HL7 version 2.3, it was replaced by 2.16.840.1.113883.18.80 routeOfAdministration and 2.16.840.1.113883.18.83 administrationMethod.  Used in the RX1 segment.",2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.160,daysOfTheWeek,Days of the Week,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,HL7-defined code system of concepts used to identify the day(s) of the week when a location may be scheduled for appointments.  Used in HL7 Version 2.x messaging in the UVC and LDP segments.,2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.161,override,Override,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,Code system of concepts used to define whether a Charge Description Master description may be overridden or if it must be overridden.  Used in HL7 Version 2.x messaging in the CDM and PRC segments.,2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.162,chargeOnIndicator,Charge On Indicator,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,Code system of concepts used to define the event upon which a charge should be generated.  Used in HL7 Version 2.x messaging in the PRC segment.,2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.163,documentType,Document Type,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,Code system of concepts used to identify the kind of patient document.  Used in HL7 Version 2.x messaging in the TXA segment.,2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.164,documentCompletionStatus,Document Completion Status,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,HL7-defined code system of concepts used to record the state of a document in a workflow.  Used in HL7 Version 2.x messaging in the TXA segment.,2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.165,documentConfidentialityStatus,Document Confidentiality Status,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,"HL7-defined code system of concetps used to identify the degree to which special confidentiality protection should be applied to this information.  Used in HL7 Version 2.x messaging in the TXA segment, but only in HL7 release 2.3; as of 2.3.1 it was replaced by 2.16.840.1.113883.18.166 documentConfidentialityStatus2.",2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.166,documentConfidentialityStatus2,Document Confidentiality Status,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,HL7-defined code system of concetps used to identify the degree to which special confidentiality protection should be applied to this information.  Used in HL7 Version 2.x messaging in the TXA segment.,2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.167,documentAvailabilityStatus,Document Availability Status,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,HL7-defined code system of concepts used to define whether a patient document is appropriate or available for use in patient care.  Used in HL7 Version 2.x messaging in the TXA segment.,2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.168,documentStorageStatus,Document Storage Status,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,HL7-defined code system of concepts used to describe the availability of a document in relation to the type of storage.  Used in HL7 Version 2.x messaging in the TXA segment.,2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.169,appointmentReason,Appointment reason codes,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,Code system of concepts used to describe the kind of appointment or the reason why an appointment has been scheduled.  Used in HL7 Version 2.x messaging in the ARQ segment.,2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.17,siteAdministered,SITE ADMINISTERED,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,HL7-defined code system of concepts used for medication administration sites.   Used only in HL7 releases 2.1 and 2.2; as of 2.3 the model for this was changed and the field using this code system was removed from the Standard.,2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.170,appointmentType,Appointment Type Codes,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,Code system of concepts used in an appointment request to describe the kind of appointment.  Used in HL7 Version 2.x messaging in the ARQ segment.,2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.171,fillerStatus,Filler status codes,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,Code system of concepts used to describe an appointment status from the perspective of the entity assigned to fulfill the appointment.  Used in HL7 Version 2.x messaging in the SCH segment.,2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.172,allowSubstitution,Allow Substitution Codes,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,Code system of concepts used to indicate whether the appointment resource may be substituted for another by the entity assigned to fulfill the appointment.  Used in HL7 Version 2.x messaging in the AIS and AIG segments.,2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.173,referralPriority,Referral Priority,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,Code system of concepts used to designate the urgency of a  referral.  Used in HL7 Version 2.x messaging in the RF1 segment.,2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.174,referralType,Referral Type,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,Code system of concepts used to identify the general category of healthcare professional desired to satisfy a referral.  Used in HL7 Version 2.x messaging in the RF1 segment.,2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.175,referralDisposition,Referral Disposition,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,Code system of concepts used to identify the expected response from the healthcare professional receiving a referral.  Used in HL7 Version 2.x messaging in the RF1 segment.,2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.176,referralStatus,Referral Status,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,Code system of concepts used to define the state of a  referral.  Used in HL7 Version 2.x messaging in the RF1 segment.,2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.177,referralCategory,Referral Category,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,Code system of concepts used to describe the patient care setting where a referral should take place.  Used in HL7 Version 2.x messaging in the RF1 segment.,2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.178,providerRole,Provider Role,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,Code system of concepts used to define the relationship between a referral recipient and a patient or between a referral initiator and a patient.  Used in HL7 Version 2.x messaging in the PRD segment.,2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.179,maritalStatus,Marital Status,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,Code system of concepts specifying a person's marital (civil/legal) status.  Used in HL7 Version 2.x messages in the PID segment.,2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.18,orderStatus,Order status,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,"HL7-defined code system of concepts specifying the status of an order. The purpose of these values are to report the status of an order either upon request (solicited), or when the status changes (unsolicited). The values are not intended to initiate action.  It is assumed that the order status value always reflects the status as it is known to the sending application at the time that a message is sent.  Only the filler can originate these values.  Used in HL7 Version 2.x messaging in the ORC segment.",2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.180,mimeBase64EncodingCharacters,MIME base64 encoding characters,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,"HL7-defined code system of concepts specifying the characters used in the MIME Base 64 encoding mechanism.  These are for reference only, as they are not carried as explicit code values in any HL7 coded field.  This table was published only in releases 2.3, 2.3.1, and 2.4 of the Standard, and was removed thereafter.",2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.181,subtypeOfReferencedData,Subtype of Referenced Data,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,"Code system of a subset of the media subtypes of binary data that are encoded in an ascii structure or stream.  Used in Version 2 messaging  ED and RP datatypes, but only in standard 2.5.1 and earlier; after that, it was recommended that the IANA media types be used instead of this short list of HL7-defined codes.   More information on the standard media types and subtypes may be found at http://www.iana.org/assignments/media-types/media-types.xhtml.",2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.182,vaccinesAdministeredHL7,Vaccines administered HL7,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,"Code system of codes specifying the administered vaccines, and used only in HL7 releases 2.3, 2.3.1, and 2.4 of the standard.  This code system was superceded when  the US Centers of Disease Control began publishing the codes directly; the code system to be used now is 2.16.840.1.113883.12.292 PH_VaccinesAdministeredCVX_CDC_NIP.",2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.183,timeSelectionCriteriaParameterClass,Time Selection Criteria Parameter Class Codes,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,"Code system of concepts used to describe acceptable start and end times, as well as days of the week, for appointment or resource scheduling.  Used in HL7 Version 2.x messaging in the SCV and APR segments.",2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.184,cpRangeType,CP Range Type,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,HL7-defined code system of concepts used to define a type of range used in composite pricing in financial transacxtions.  Used in HL7 Version 2 messaging in the CP datatype.,2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.185,encoding,Encoding,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,HL7-defined code system of concept identifying the type of encoding used to represent successive octets of binary data as displayable ASCII characters.  These are defined by IETF; more information may be found at https://www.ietf.org/rfc/rfc1521.txt.  Used in HL7 Version 2.x messaging in the ED datatypes.,2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.186,universalIdType,Universal ID Type,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,HL7-defined code system of types of UID (Universal Identifiers).   Used in HL7 Version 2.x messaging HD and EI datatypes.,2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.187,personLocationType,Person Location Type,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,"Code system of concepts specifying the categorization of the person's location.  Used in HL7 Version 2.x messaging datatypes that contain location identifiers such as Person Location (PL), Location with address variation (LA) and Name with date and location (NDL).",2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.188,coverageType,Coverage Type,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,"Code system of concepts specifying the type of insurance coverage or what types of services are covered for the purposes of a billing system.  For example, a physician billing system will only want to receive insurance information for plans that cover physician/professional charges.  Used in HL7 Version 2.x messaging in the Insurance (IN1) segment.",2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.189,jobStatus,Job Status,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,HL7-defined code system of concepts specifying the next of kin/associated party's job status.  Used in HL7 Version 2.x messaging in the Next of Kin/Associated Parties (NK1) segment.,2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.19,conditionCodes,Condition code,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,HL7-defined code system of concepts specifying the condition code.  This field is defined by CMS or other regulartory agencies.  Used in HL7 Version 2.x messaging in the UB2 segment.,2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.190,livingWillCodes,Living Will Code,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,"Code system of concepts specifying whether or not the patient has a living will and, if so, whether a copy fo the living will is on file at the healthcare facility.  If the patient does not have a living will, the value of this field indicates whether the patient was provided information on living wills.  Used in HL7 Version 2.x messaging in the Patient Visit - Additional Information ( PV2) and Patient Additional Demographic (PD1) segments.",2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
2.16.840.1.113883.18.191,organDonorCode1,Organ Donor Code Initial,Ted,Klein,masked,,Ted Klein,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,masked,HL7 Vocabulary WG Cochair,HL7 International,"3300 Washtenaw Avenue, Suite 227Ann Arbor, MI 48104USA",+1 (734) 677-7777,hq@hl7.org,http://www.hl7.org,SDO,2.16.840.1.113883,Int,,,18,Complete,2.16.840.1.113883,HL7 International,HL7-defined code system of concepts specifying whether the patient wants to donate his/her organs and whether an organ donor card or similar documentation is on file with the healthcare organization.   Used in Version 2 messaging in the Patient Visit - Additional Information ( PV2) and Patient Additional Demographic (PD1) segments.,2016/08/31 12:00:00,2016/08/31 12:00:00,2016/08/31 12:00:00,,UV
